2019-06-05 00:42:39,112 [WebFsCrawler] INFO  [POINT C-99]
2019-06-05 00:42:39,112 [WebFsCrawler] INFO  [POINT C-1] i=0
2019-06-05 00:42:39,350 [IndexUpdater] INFO  Processing no docs (Doc:{access 4ms, cleanup 22ms}, Mem:{used 165MB, heap 247MB, max 494MB})
2019-06-05 00:42:40,113 [WebFsCrawler] INFO  [POINT C-2] i=0
2019-06-05 00:42:40,113 [WebFsCrawler] INFO  [POINT C-3] status=RUNNING
2019-06-05 00:42:40,113 [WebFsCrawler] INFO  [POINT C-99]
2019-06-05 00:42:40,114 [WebFsCrawler] INFO  [POINT C-1] i=0
2019-06-05 00:42:40,351 [IndexUpdater] INFO  Processing no docs (Doc:{access 4ms, cleanup 22ms}, Mem:{used 165MB, heap 247MB, max 494MB})
2019-06-05 00:42:41,118 [WebFsCrawler] INFO  [POINT C-2] i=0
2019-06-05 00:42:41,118 [WebFsCrawler] INFO  [POINT C-3] status=RUNNING
2019-06-05 00:42:41,119 [WebFsCrawler] INFO  [POINT C-99]
2019-06-05 00:42:41,119 [WebFsCrawler] INFO  [POINT C-1] i=0
2019-06-05 00:42:41,350 [IndexUpdater] INFO  Processing no docs (Doc:{access 4ms, cleanup 22ms}, Mem:{used 165MB, heap 247MB, max 494MB})
2019-06-05 00:42:42,119 [WebFsCrawler] INFO  [POINT C-2] i=0
2019-06-05 00:42:42,119 [WebFsCrawler] INFO  [POINT C-3] status=RUNNING
2019-06-05 00:42:42,119 [WebFsCrawler] INFO  [POINT C-99]
2019-06-05 00:42:42,119 [WebFsCrawler] INFO  [POINT C-1] i=0
2019-06-05 00:42:42,353 [IndexUpdater] INFO  Processing no docs (Doc:{access 7ms, cleanup 22ms}, Mem:{used 165MB, heap 247MB, max 494MB})
2019-06-05 00:42:43,123 [WebFsCrawler] INFO  [POINT C-2] i=0
2019-06-05 00:42:43,123 [WebFsCrawler] INFO  [POINT C-3] status=RUNNING
2019-06-05 00:42:43,123 [WebFsCrawler] INFO  [POINT C-99]
2019-06-05 00:42:43,123 [WebFsCrawler] INFO  [POINT C-1] i=0
2019-06-05 00:42:43,354 [IndexUpdater] INFO  Processing no docs (Doc:{access 7ms, cleanup 22ms}, Mem:{used 165MB, heap 247MB, max 494MB})
2019-06-05 00:42:44,124 [WebFsCrawler] INFO  [POINT C-2] i=0
2019-06-05 00:42:44,124 [WebFsCrawler] INFO  [POINT C-3] status=RUNNING
2019-06-05 00:42:44,124 [WebFsCrawler] INFO  [POINT C-99]
2019-06-05 00:42:44,124 [WebFsCrawler] INFO  [POINT C-1] i=0
2019-06-05 00:42:44,358 [IndexUpdater] INFO  Processing no docs (Doc:{access 6ms, cleanup 22ms}, Mem:{used 165MB, heap 247MB, max 494MB})
2019-06-05 00:42:45,129 [WebFsCrawler] INFO  [POINT C-2] i=0
2019-06-05 00:42:45,129 [WebFsCrawler] INFO  [POINT C-3] status=RUNNING
2019-06-05 00:42:45,129 [WebFsCrawler] INFO  [POINT C-99]
2019-06-05 00:42:45,129 [WebFsCrawler] INFO  [POINT C-1] i=0
2019-06-05 00:42:45,357 [IndexUpdater] INFO  Processing no docs (Doc:{access 3ms, cleanup 22ms}, Mem:{used 165MB, heap 247MB, max 494MB})
2019-06-05 00:42:46,130 [WebFsCrawler] INFO  [POINT C-2] i=0
2019-06-05 00:42:46,131 [WebFsCrawler] INFO  [POINT C-3] status=RUNNING
2019-06-05 00:42:46,131 [WebFsCrawler] INFO  [POINT C-99]
2019-06-05 00:42:46,131 [WebFsCrawler] INFO  [POINT C-1] i=0
2019-06-05 00:42:46,361 [IndexUpdater] INFO  Processing no docs (Doc:{access 4ms, cleanup 22ms}, Mem:{used 165MB, heap 247MB, max 494MB})
2019-06-05 00:42:46,960 [WebFsCrawler] INFO  [POINT C-2] i=0
2019-06-05 00:42:46,960 [WebFsCrawler] INFO  [POINT C-3] status=DONE
2019-06-05 00:42:46,961 [WebFsCrawler] INFO  [POINT C-4] finished sid=RFB2E2sBA23NzYXeYT1d-1,i=0
2019-06-05 00:42:46,961 [WebFsCrawler] INFO  [POINT D]
2019-06-05 00:42:46,961 [WebFsCrawler] INFO  [EXEC TIME] crawling time: 32109ms
2019-06-05 00:42:47,370 [IndexUpdater] INFO  Processing no docs (Doc:{access 9ms, cleanup 22ms}, Mem:{used 165MB, heap 247MB, max 494MB})
2019-06-05 00:42:47,370 [IndexUpdater] INFO  [EXEC TIME] index update time: 3408ms
2019-06-05 00:42:47,504 [main] INFO  Finished Crawler
2019-06-05 00:42:47,639 [main] INFO  [CRAWL INFO] CrawlerEndTime=2019-06-05T00:42:47.504+0900,WebFsCrawlExecTime=32109,CrawlerStatus=true,CrawlerStartTime=2019-06-05T00:42:14.788+0900,WebFsCrawlEndTime=2019-06-05T00:42:47.504+0900,WebFsIndexExecTime=3408,WebFsIndexSize=1,CrawlerExecTime=32717,WebFsCrawlStartTime=2019-06-05T00:42:14.827+0900
2019-06-05 00:42:48,664 [main] INFO  Disconnected to elasticsearch:localhost:9301
2019-06-05 00:42:49,664 [main] INFO  Destroyed LaContainer.

＊Constants.javaのDEFAULT_CRAWLING_EXECUTION_INTERVAL変数を5sec(default)→１secに変えてるから、
 1sec１回Statusを確認している。このクロール例では、RUNNING →DONEになるまで30secぐらいかかってるので、5sec(default)でも別によさげ。と感じた。
2019-06-05 00:42:44,124 [WebFsCrawler] INFO  [POINT C-2] i=0での
2019-06-05 00:42:44,124 [WebFsCrawler] INFO  [POINT C-2] i=0
